red,green,blue,off,position,color
593,392,326,2,7,blue
725,309,733,0,8,red
703,163,518,0,9,red
678,260,566,15,10,red
517,167,432,64,11,red
530,226,577,1,12,green
515,191,560,6,13,green
391,126,499,11,14,green
594,192,583,32,15,green
643,99,530,3,0,yellow
674,190,664,5,1,yellow
674,118,596,18,2,yellow
752,338,725,26,3,yellow
448,368,309,126,4,blue
580,452,397,21,5,blue
521,272,185,2,6,blue
594,393,325,1,7,blue
725,309,733,0,8,red
703,161,516,1,9,red
680,262,568,12,10,red
518,167,432,63,11,red
529,225,575,2,12,green
519,194,563,3,13,green
389,124,497,13,14,green
592,186,579,36,15,green
648,100,535,2,0,yellow
672,192,662,5,1,yellow
673,119,596,18,2,yellow
752,340,724,25,3,yellow
446,366,306,126,4,blue
580,449,395,20,5,blue
521,278,188,3,6,blue
591,392,323,2,7,blue
725,303,738,0,8,red
705,160,513,2,9,red
679,269,565,10,10,red
520,162,437,64,11,red
528,226,578,2,12,green
515,191,562,4,13,green
385,121,499,11,14,green
595,191,578,35,15,green
649,102,536,1,0,yellow
671,191,659,7,1,yellow
678,123,599,15,2,yellow
752,340,723,26,3,yellow
446,367,305,126,4,blue
579,448,393,22,5,blue
521,278,187,3,6,blue
591,391,323,2,7,blue
724,304,737,0,8,red
706,162,514,0,9,red
676,267,563,12,10,red
519,160,435,65,11,red
528,225,577,2,12,green
517,193,563,3,13,green
380,117,494,16,14,green
596,189,581,34,15,green
648,101,534,2,0,yellow
672,192,661,6,1,yellow
679,121,599,15,2,yellow
754,341,725,25,3,yellow
446,366,304,127,4,blue
578,448,393,22,5,blue
522,279,187,3,6,blue
590,391,322,3,7,blue
725,304,736,0,8,red
707,163,514,0,9,red
673,266,559,15,10,red
522,163,437,63,11,red
528,226,577,2,12,green
515,190,561,5,13,green
383,119,496,13,14,green
596,191,578,35,15,green
647,99,533,3,0,yellow
674,193,662,4,1,yellow
676,120,598,16,2,yellow
751,338,722,27,3,yellow
446,367,305,126,4,blue
579,449,394,21,5,blue
522,280,189,2,6,blue
590,391,322,3,7,blue
725,305,737,0,8,red
707,162,515,0,9,red
676,267,562,12,10,red
521,160,436,64,11,red
530,227,578,0,12,green
515,191,560,5,13,green
383,119,496,13,14,green
598,191,580,33,15,green
648,100,536,1,0,yellow
671,190,661,6,1,yellow
678,121,599,15,2,yellow
753,340,723,26,3,yellow
448,368,306,125,4,blue
580,449,394,21,5,blue
520,276,185,5,6,blue
592,392,323,2,7,blue
725,304,738,0,8,red
708,162,515,0,9,red
677,268,563,12,10,red
520,162,437,64,11,red
525,223,575,5,12,green
516,191,562,4,13,green
384,121,498,12,14,green
595,189,578,36,15,green
649,101,536,1,0,yellow
670,190,660,7,1,yellow
678,122,600,14,2,yellow
752,339,724,26,3,yellow
444,365,303,128,4,blue
578,447,393,22,5,blue
521,278,187,3,6,blue
592,394,325,0,7,blue
